Puntaje crediticio,Ingresos mensuales (USD),Monto del préstamo (USD),¿Default/No default?
5.4,1543.2,37689.4,1
1.5,3751.1,38909.5,1
0.8,5890.4,32025.2,0
5.2,5255.4,20165.3,0
0.0,2377.0,36283.9,1
2.1,6568.2,25945.9,0
1.9,1643.1,44632.5,1
7.3,1259.6,46422.5,1
4.2,5030.5,34554.0,0
0.6,4757.5,39006.4,1
6.9,2374.0,42039.9,1
1.4,5719.6,33133.0,0
4.1,6097.3,38690.3,0
4.1,4733.2,21912.7,0
2.8,4889.0,21967.6,0
0.1,3783.7,48522.0,1
3.5,5978.9,38178.4,0
3.5,4593.0,46549.2,1
1.0,4131.5,42860.2,1
1.1,5453.7,41431.9,0
5.9,2111.0,42742.0,1
5.6,2773.5,48862.0,1
3.1,515.9,41130.8,1
1.2,6285.6,28306.1,0
0.4,2140.2,37019.9,1
0.1,1353.3,40798.3,1
0.5,6657.7,28512.0,0
1.4,5382.8,27037.6,0
3.9,1307.0,39415.0,1
5.2,4253.1,32488.4,0
4.0,5942.3,38174.7,0
5.1,6995.0,32078.4,0
0.2,4777.5,24457.5,0
3.4,2846.0,36872.2,1
3.9,6471.9,40703.8,0
4.9,6175.1,29446.7,0
3.7,6528.0,33463.0,0
4.3,5627.0,22443.8,0
1.7,6451.1,30700.1,0
1.9,1571.8,43020.0,1
5.4,5896.7,40686.5,0
3.6,5743.1,38717.9,0
5.7,4467.8,43399.3,1
1.8,5411.6,32988.5,0
4.1,6439.9,29700.4,0
7.3,3218.9,42912.6,1
2.3,4484.3,27099.7,0
3.2,5792.2,36639.9,0
2.9,5580.4,22241.5,0
1.2,4542.6,38117.8,0
3.4,4202.7,33107.0,0
1.5,3204.7,49781.4,1
4.3,4223.4,37968.0,0
0.4,6813.5,28972.9,0
3.5,4793.6,25529.0,0
2.6,4370.9,33652.4,0
3.8,5368.0,32539.2,0
4.1,4818.2,23055.7,0
3.4,2585.7,42692.3,1
2.0,4728.4,33925.2,0
1.4,4590.4,37172.7,0
1.7,5151.1,29582.0,0
1.2,5814.2,36789.5,0
5.8,290.9,49454.1,1
3.2,6115.8,23659.2,0
5.1,2924.4,40774.2,1
6.2,3090.4,40172.9,1
5.1,4215.8,28407.1,0
4.7,3857.3,37715.0,1
3.6,1486.0,45033.9,1
7.0,4426.8,46345.0,1
3.1,5211.4,25524.8,0
2.7,6201.8,32179.6,0
0.8,6710.3,36832.1,0
5.2,1842.0,46621.9,1
2.4,1670.0,41569.7,1
1.8,4913.7,31009.9,0
5.8,2633.3,47155.6,1
4.9,6883.4,28667.9,0
3.1,1430.3,49484.6,1
5.6,460.1,37293.2,1
2.9,6961.8,41839.5,0
4.4,5000.2,36584.2,0
3.8,416.9,48193.8,1
0.2,4551.9,26694.0,0
5.9,3704.7,41669.6,1
6.4,1110.1,44888.3,1
4.8,997.7,42403.0,1
6.6,3642.5,37041.7,1
4.3,896.6,45684.4,1
4.0,1456.8,44138.8,1
6.9,1201.7,44029.4,1
0.5,5046.0,26750.5,0
5.5,4583.5,21202.8,0
3.9,5311.1,29055.2,0
4.6,4187.5,46376.8,1
1.6,5809.1,38442.8,0
1.7,2321.4,37142.7,1
5.3,4738.7,23879.3,0
1.3,5610.4,35286.1,0
0.9,6469.0,24127.6,0
4.5,3030.1,43090.2,1
3.7,4960.0,30075.1,0
4.6,11.4,39794.2,1
0.1,5460.5,33473.4,0
2.7,3014.0,37840.8,1
3.5,5661.6,25566.9,0
3.9,5676.5,34575.2,0
3.3,6151.7,34624.2,0
1.3,4675.8,27813.5,0
0.4,2516.0,37337.5,1
1.3,5908.6,36397.1,0
1.3,4599.5,32774.2,0
2.0,6493.0,36398.4,0
6.9,3127.2,39076.4,1
1.4,5791.2,20112.4,0
5.4,1772.4,39175.4,1
7.4,2181.6,38479.6,1
0.5,5637.0,40784.0,0
4.0,3255.3,44511.7,1
4.5,1969.0,45626.5,1
3.5,6373.1,31263.1,0
5.1,2649.5,36860.7,1
0.5,4170.7,39628.8,1
3.6,6965.3,38284.1,0
6.9,4631.3,43582.4,1
4.8,1297.7,39555.7,1
2.1,6696.0,28983.7,0
5.7,731.7,44435.3,1
1.0,5563.8,22098.9,0
6.7,1632.8,38729.7,1
5.0,189.9,45360.9,1
2.6,4367.9,41667.0,0
3.1,4499.2,26477.0,0
0.0,853.3,47287.4,1
1.1,5153.8,39010.7,0
4.6,4991.3,35466.4,0
2.3,6786.5,22003.6,0
0.1,253.8,43781.7,1
6.8,1573.3,40928.9,1
4.9,1285.3,45280.3,1
3.6,5409.3,32318.4,0
4.7,4343.2,48316.4,1
5.0,3874.3,44552.7,1
5.2,49.1,44301.0,1
2.0,4400.8,24203.2,0
4.1,6621.7,38009.5,0
2.2,5523.6,21886.1,0
3.3,5822.3,31725.7,0
6.2,4253.5,38374.4,1
0.1,4850.0,29432.0,0
5.1,3191.0,44933.3,1
3.4,6593.6,35976.4,0
4.0,6036.9,37903.2,0
4.6,966.8,46038.6,1
4.8,455.2,37864.8,1
1.8,4992.2,31864.5,0
2.3,5040.4,37870.4,0
5.2,4362.3,33020.9,0
5.7,920.7,36502.2,1
2.3,6089.3,35992.8,0
5.2,1594.5,36940.9,1
3.3,4254.0,31202.8,0
1.9,4452.4,22229.0,0
1.2,807.5,42537.4,1
2.3,4517.6,44988.9,1
0.6,4506.3,39338.3,0
1.5,3490.7,49453.1,1
0.5,4787.3,24989.0,0
2.1,5053.7,33855.3,0
1.2,6015.1,29525.3,0
3.1,6860.3,40303.8,0
6.2,4753.7,49471.6,1
6.9,1582.8,41700.0,1
1.4,4697.3,21448.8,0
5.5,3562.0,36239.4,1
1.5,6216.9,39333.4,0
2.6,2001.8,39368.4,1
6.7,2454.5,48443.2,1
3.6,3232.5,43792.3,1
5.1,4878.0,26524.3,0
4.0,5494.1,34607.3,0
4.4,5497.4,27586.8,0
4.6,6434.5,28462.3,0
2.7,2911.5,49213.4,1
5.5,1739.8,39309.2,1
4.3,5752.7,41189.0,0
5.0,5848.9,35792.5,0
3.2,5865.4,23350.3,0
5.0,4459.3,43218.8,1
2.0,4874.0,29347.7,0
2.6,2300.4,40750.7,1
4.3,6658.7,38584.8,0
7.3,1540.7,42160.6,1
3.6,5270.8,29613.9,0
2.2,4326.8,44821.4,1
0.9,1850.2,45028.2,1
5.6,3005.2,39403.0,1
5.3,5472.6,30564.9,0
5.8,378.2,40141.5,1
1.7,5102.4,26038.7,0
5.9,3248.1,36914.1,1
4.1,4805.7,21077.6,0
2.8,5955.1,24147.9,0
0.8,6841.3,25793.0,0
3.3,2022.6,45455.5,1
1.7,4655.0,20097.0,0
7.1,4464.7,36916.2,1
5.2,3025.4,41106.7,1
0.3,4314.3,40041.7,0
2.9,3235.6,44890.8,1
1.2,4183.6,45242.4,1
3.2,4688.7,47338.4,1
0.6,6301.6,31863.8,0
2.2,4695.5,34649.0,0
0.6,6316.3,30273.3,0
4.0,35.5,43772.2,1
1.7,5746.0,27659.7,0
1.8,5188.9,38286.2,0
5.2,4654.7,33080.6,0
4.4,181.3,37178.5,1
2.2,5576.2,39477.8,0
2.5,6225.1,28443.2,0
6.8,3384.9,44792.0,1
0.1,4604.7,48286.1,1
3.6,3975.1,38242.1,1
4.9,120.0,49985.5,1
4.1,1057.6,47214.1,1
1.2,5788.4,33362.6,0
4.7,6826.5,31137.9,0
3.6,6613.5,30809.5,0
5.8,4298.3,36400.1,1
2.7,2088.8,40482.0,1
0.3,5651.3,40779.0,0
6.8,1811.9,45097.9,1
4.5,4465.4,26318.7,0
4.4,3837.7,44502.1,1
0.6,4646.1,31347.3,0
7.3,3715.9,47055.8,1
1.3,6353.2,40378.0,0
3.8,5566.2,34285.0,0
4.4,4903.1,28639.4,0
2.9,6867.5,39193.8,0
6.9,4143.2,41462.5,1
5.0,4318.2,48206.0,1
5.3,2739.1,37246.9,1
2.6,6577.7,26848.5,0
1.9,129.0,40014.9,1
0.3,6777.5,34078.8,0
2.5,4622.0,32025.2,0
0.4,4918.6,40955.1,0
0.6,4569.7,40440.3,0
3.2,6250.0,36515.0,0
1.6,6657.3,40054.9,0
2.9,4247.8,25202.7,0
3.3,5169.7,38843.2,0
2.0,5196.4,36294.3,0
2.6,6219.2,27091.0,0
4.6,3429.6,46161.6,1
3.7,4661.0,40439.4,0
1.7,432.2,37112.7,1
3.2,4906.2,22544.1,0
7.1,2049.9,42617.8,1
0.5,5071.0,41231.5,0
7.2,938.6,37613.4,1
4.7,3572.9,47827.1,1
0.2,130.2,49654.2,1
0.3,6019.3,25926.5,0
1.3,6733.1,35098.3,0
1.4,4880.8,28365.4,0
3.2,5584.5,41354.8,0
5.4,1419.9,42981.4,1
1.7,873.8,39653.1,1
0.7,5853.1,31134.9,0
2.0,6717.3,35127.6,0
5.0,4741.0,49030.7,1
1.2,4692.6,20534.4,0
2.6,1473.4,45337.5,1
0.4,6880.1,34536.9,0
4.5,6075.3,30703.2,0
2.9,5758.2,21676.8,0
4.5,4695.0,43719.8,1
2.0,463.8,42500.3,1
1.6,6647.3,29361.4,0
0.7,3786.6,43365.5,1
4.0,1210.2,46855.4,1
4.2,4681.0,22911.5,0
4.4,6066.2,28531.2,0
0.1,3603.2,48897.1,1
1.4,5832.7,22061.6,0
1.8,5620.7,34139.1,0
3.8,5730.9,36096.8,0
5.1,6875.1,29464.6,0
3.6,4703.9,40567.9,1
5.1,5848.5,22262.6,0
3.1,4507.7,32031.4,0
3.4,4879.6,29134.4,0
2.8,5006.7,21836.6,0
0.7,2521.1,48896.9,1
0.8,6426.3,41086.6,0
3.9,5437.1,30140.7,0
5.8,3767.6,49080.8,1
2.3,6365.8,32860.1,0
6.4,927.1,46095.6,1
2.5,2401.3,41730.8,1
2.9,1742.8,40317.5,1
4.5,4469.2,23634.8,0
4.2,2022.6,36879.8,1
3.4,6857.7,26928.5,0
5.2,5928.1,38448.3,0
3.4,3399.3,46973.3,1
2.7,1578.2,41085.5,1
1.6,5351.8,24482.0,0
4.6,1125.7,47874.8,1
5.1,5718.2,23988.5,0
3.7,4224.7,42807.1,1
0.3,6286.8,29104.2,0
1.6,5626.1,26370.6,0
3.4,5616.2,40949.7,0
1.4,47.8,49385.7,1
4.0,6326.9,31254.5,0
5.2,6469.0,20901.0,0
4.6,5593.0,20273.8,0
2.3,6317.6,30699.7,0
1.4,5018.9,27978.6,0
1.1,5950.7,21360.3,0
3.1,1163.4,39941.7,1
0.5,3666.3,39011.7,1
2.5,4363.6,20789.6,0
3.5,1530.9,39805.5,1
2.5,1697.4,48463.2,1
4.2,5002.9,34344.9,0
3.0,4949.4,21005.8,0
2.9,4560.9,41854.0,1
1.4,2775.7,38431.5,1
3.0,1295.1,37464.3,1
2.3,6264.2,38375.5,0
1.4,3232.0,40873.9,1
2.8,5160.4,35868.9,0
0.1,2592.9,43282.1,1
0.5,5566.4,38311.6,0
1.4,4820.3,37751.3,0
0.6,2563.7,45290.5,1
4.3,5502.0,35783.4,0
3.2,3304.0,41853.4,1
3.1,5329.8,28959.7,0
6.3,4071.8,44658.7,1
2.4,4017.3,42976.2,1
3.5,6867.5,36964.0,0
3.6,4505.4,21981.2,0
2.0,5675.0,29318.0,0
2.7,4399.4,41396.4,1
4.0,407.2,38062.7,1
1.1,723.6,48162.2,1
4.9,4367.8,39581.2,0
5.0,1387.1,48360.2,1
4.4,5644.1,33163.1,0
2.0,805.3,39168.8,1
0.6,338.3,45727.0,1
2.5,4532.7,26941.1,0
0.0,1998.2,45572.9,1
3.4,6339.4,40427.2,0
2.8,645.9,37179.6,1
5.1,4287.4,20520.8,0
2.1,417.3,42060.3,1
3.1,3540.9,48494.0,1
2.8,4635.8,33476.9,0
3.6,4211.0,24275.6,0
4.8,4384.5,39335.9,0
7.5,3770.0,37938.1,1
0.1,679.1,48335.7,1
4.3,6411.4,29925.0,0
1.3,5129.6,20271.5,0
2.3,3992.2,41290.8,1
2.2,6352.8,39727.7,0
2.3,4565.3,40904.7,1
0.3,590.3,44007.0,1
6.1,2504.1,41745.5,1
4.1,94.1,38715.4,1
2.5,5692.2,28363.5,0
0.4,3539.3,41860.1,1
2.7,6368.6,33181.2,0
4.5,4519.9,29324.7,0
0.6,1761.2,38967.1,1
0.4,6743.4,23022.5,0
0.2,5729.4,27870.9,0
6.7,1719.6,36949.8,1
3.0,5169.0,40259.2,0
1.0,1423.9,39373.5,1
5.3,5116.3,31734.6,0
5.4,5871.5,29319.1,0
1.7,1458.4,45816.5,1
3.5,64.1,44802.9,1
6.5,3631.4,45218.7,1
1.2,3477.7,40722.9,1
6.5,3535.6,36991.5,1
5.4,4398.0,34431.6,0
1.2,4005.9,44745.1,1
2.6,6589.5,35843.5,0
2.4,4995.4,36166.2,0
2.5,1824.0,43829.1,1
5.7,2307.4,42413.9,1
4.3,138.4,42418.7,1
1.5,4376.6,32095.0,0
0.1,3602.9,36828.6,1
4.2,1073.3,47563.2,1
6.9,591.8,44218.2,1
0.8,4610.3,49815.0,1
5.0,5220.7,33791.9,0
6.6,3582.5,49819.5,1
1.6,1036.1,36793.3,1
0.7,2676.1,41744.7,1
0.1,1.4,45746.4,1
5.3,5713.4,28261.0,0
4.1,6534.2,33913.3,0
2.5,5747.0,23443.3,0
5.7,4178.0,45846.0,1
2.6,5071.3,29402.3,0
4.6,4385.6,37997.8,0
1.1,4954.1,29423.3,0
3.9,4001.4,46766.0,1
2.9,1255.8,38380.3,1
1.9,5941.5,23691.9,0
5.9,3371.5,45320.5,1
5.4,2721.0,43357.6,1
4.1,2251.4,36371.7,1
6.3,191.1,46320.1,1
6.5,336.3,46587.4,1
0.1,5633.9,34151.6,0
0.4,3793.6,49418.5,1
1.5,6101.4,31563.4,0
4.6,6466.3,21623.1,0
4.5,6600.8,21841.1,0
2.7,3760.5,49770.2,1
3.9,6139.4,40905.5,0
0.1,1233.8,43001.4,1
7.2,1158.1,39372.1,1
0.4,3426.0,49197.7,1
5.7,1129.7,44339.2,1
3.9,1319.1,48471.2,1
6.9,547.3,46864.5,1
4.2,6997.5,21886.0,0
1.4,3278.9,41429.4,1
4.0,1134.5,38371.4,1
4.4,5480.9,33125.7,0
3.4,601.3,48198.6,1
1.9,4901.7,27395.2,0
4.6,1508.9,45702.6,1
2.1,3913.2,38560.2,1
4.7,4393.9,24819.1,0
2.1,5297.8,31437.3,0
3.3,4797.0,26437.0,0
2.6,1923.5,48129.0,1
2.3,461.9,46649.9,1
3.2,5219.7,25149.8,0
7.1,250.8,43027.8,1
3.3,4240.0,28993.0,0
3.8,6452.0,40763.8,0
1.1,6042.5,29767.4,0
7.5,2190.3,48704.8,1
4.5,4589.6,28775.9,0
0.8,4427.0,43546.2,1
1.8,6795.9,30117.9,0
4.3,4442.5,37996.0,0
6.0,3708.3,38678.9,1
0.7,134.1,39019.0,1
0.6,5550.7,21548.9,0
4.0,5895.5,38244.9,0
5.3,2268.6,36490.7,1
5.4,3186.3,43187.0,1
4.9,1181.1,40554.2,1
3.2,5381.4,25184.9,0
0.7,6798.1,28797.6,0
4.0,5492.2,26988.5,0
2.4,5774.4,36069.6,0
0.2,6723.7,27746.9,0
6.0,3048.5,47365.4,1
3.5,4438.5,45205.2,1
5.4,156.9,47832.4,1
0.1,6378.9,32939.2,0
1.9,2029.3,38157.8,1
1.7,4880.3,38211.0,0
3.0,3226.5,44070.5,1
3.4,6923.2,41014.1,0
1.7,4833.0,26635.2,0
2.8,6250.3,24768.8,0
3.4,5114.0,37240.6,0
6.1,4064.6,46311.2,1
0.0,1238.9,46492.1,1
5.2,5023.8,34258.3,0
7.4,2286.1,38723.6,1
6.9,2781.2,38046.3,1
4.6,271.6,40710.7,1
5.3,4750.2,20843.6,0
5.3,6111.9,32733.6,0
4.5,5744.0,31122.8,0
5.0,2970.3,41941.3,1
3.5,3871.1,49857.7,1
0.8,2202.7,41297.2,1
5.1,5878.3,22341.1,0
4.7,6817.3,35595.9,0
6.3,2029.1,47358.6,1
7.0,3132.1,46816.8,1
3.1,5778.6,39744.3,0
5.4,6480.0,40419.5,0
1.4,6493.4,30080.0,0
0.0,574.9,44997.3,1
1.3,6536.4,22541.7,0
1.6,5998.2,32582.5,0
2.0,2553.1,43318.0,1
6.5,3794.7,43260.1,1
1.2,6588.0,30611.8,0
4.4,6609.9,22561.9,0
4.8,959.8,45151.4,1
4.3,2184.3,47452.9,1
2.2,5963.3,23382.0,0
0.9,2021.4,41404.7,1
2.7,1742.6,42421.2,1
0.1,5020.3,37695.2,0
5.5,894.8,47288.0,1
3.1,2850.5,44619.8,1
1.0,4196.3,49022.1,1
6.6,2297.2,41089.2,1
0.1,6597.6,22991.3,0
0.4,6621.6,31708.1,0
2.0,3555.8,47415.6,1
2.4,4811.3,32324.3,0
1.2,4322.8,43099.8,1
5.1,1211.2,44211.1,1
4.9,2202.4,47091.6,1
1.1,3526.4,48817.1,1
3.2,4706.6,38912.6,1
0.8,4875.9,38932.5,0
0.4,1074.9,43977.7,1
5.5,2010.9,46614.5,1
3.8,6914.9,32036.3,0
1.1,6770.6,39381.0,0
2.2,5967.5,41544.5,0
3.7,5309.0,27999.6,0
0.2,6637.5,32885.4,0
6.0,581.9,45719.9,1
7.3,2220.9,40428.6,1
4.3,2469.5,39288.7,1
2.8,4699.3,41649.2,0
1.3,5100.8,33826.7,0
0.5,4376.4,37972.9,0
3.7,4705.6,25641.8,0
4.7,2459.4,42211.8,1
2.4,585.1,36927.3,1
3.9,155.4,39215.2,1
1.5,4800.6,40198.4,0
4.5,4966.5,36267.5,0
5.4,5498.0,38289.9,0
2.4,3369.4,40048.3,1
5.2,4579.5,25684.5,0
7.1,1057.2,48157.6,1
3.9,5030.4,39070.0,0
6.6,904.4,45536.5,1
3.7,323.9,40743.5,1
4.7,2861.0,47031.5,1
4.1,555.1,39856.2,1
2.3,3856.4,46653.2,1
4.9,5819.6,34467.5,0
2.2,1642.0,45131.5,1
2.7,5625.8,30571.8,0
2.2,5602.2,28305.2,0
5.0,3861.4,43498.8,1
0.2,1850.9,48194.2,1
0.5,3138.8,38592.7,1
5.3,6380.3,40956.3,0
5.1,5248.6,38141.2,0
2.4,6337.9,32014.8,0
1.8,3613.1,36836.6,1
2.1,600.0,37560.5,1
4.1,3984.7,44669.3,1
1.2,6958.4,31796.9,0
7.5,648.3,43308.4,1
2.8,6166.2,23408.2,0
6.3,747.4,39684.9,1
0.8,2511.9,41646.3,1
0.8,6534.5,39515.5,0
5.1,2731.4,44726.9,1
1.0,2964.2,41436.6,1
1.9,2864.2,38991.6,1
0.6,4853.7,41378.5,0
1.7,246.3,37304.3,1
0.6,5712.6,23620.9,0
3.0,1412.3,37136.3,1
1.1,5459.3,39696.6,0
4.8,6570.3,34881.8,0
0.2,4509.6,38132.3,1
5.3,4450.4,37804.8,1
2.0,6158.7,37989.4,0
4.8,3544.2,46237.4,1
5.8,594.0,45347.7,1
7.4,3161.3,46950.2,1
0.3,291.7,44741.9,1
1.8,6134.9,41310.7,0
2.4,2375.4,46887.0,1
5.1,187.1,41912.0,1
1.8,2472.4,49244.6,1
1.6,1309.1,48917.4,1
5.4,6023.3,32130.4,0
1.5,5396.5,30631.3,0
1.4,5627.1,41050.8,0
3.4,2774.3,42479.4,1
1.5,4746.9,49797.7,1
6.2,1841.1,48486.4,1
6.9,3316.0,41528.2,1
1.4,3792.8,48156.1,1
5.6,1690.5,37743.4,1
4.7,4416.4,21223.5,0
5.5,3334.7,37500.0,1
5.6,367.2,39373.4,1
4.3,6331.7,32179.2,0
4.9,4765.2,29145.8,0
1.2,842.4,36353.0,1
0.1,6539.5,32457.7,0
2.1,6878.2,40846.7,0
4.7,5577.6,21292.2,0
2.9,4660.0,21667.7,0
3.1,4758.3,31295.5,0
2.6,4654.1,38588.1,1
3.7,5979.3,33924.3,0
3.7,4414.2,36183.6,1
2.5,5597.5,38288.4,0
2.1,2360.7,49261.5,1
5.8,2692.7,49079.5,1
3.3,4854.0,39962.3,0
6.9,2026.5,47468.3,1
5.2,791.5,39950.4,1
7.4,577.1,49114.5,1
7.3,962.2,44461.5,1
3.3,4295.6,35987.8,0
6.9,3376.9,48008.1,1
0.8,6519.2,25959.1,0
0.1,2297.1,36672.1,1
4.6,5097.1,37652.1,0
1.6,1699.5,46014.5,1
0.7,3578.8,49807.0,1
2.8,3556.6,49351.9,1
6.7,1713.7,36634.5,1
3.5,3206.4,36634.4,1
0.6,2511.0,39474.8,1
1.7,5635.4,33530.0,0
6.0,843.8,36933.5,1
6.2,4577.5,47187.0,1
4.8,4960.8,25608.0,0
4.6,995.7,37392.8,1
4.3,6378.9,32683.8,0
4.1,4576.9,20310.9,0
4.4,2205.7,41140.7,1
1.0,233.5,45011.4,1
6.6,121.8,44977.2,1
1.4,6876.5,41644.3,0
0.8,906.2,42344.2,1
3.7,4544.2,48153.3,1
2.0,1435.9,41212.1,1
4.8,1112.7,43924.9,1
1.3,6987.5,39823.8,0
4.5,4277.3,39230.1,1
3.4,5831.4,20838.6,0
5.3,5679.6,41003.0,0
1.7,6699.2,23918.6,0
0.7,6300.8,38311.5,0
4.7,3506.2,41917.8,1
5.2,6297.8,23156.7,0
0.2,917.5,36900.5,1
3.5,3431.5,44914.4,1
1.5,1965.5,42020.2,1
3.6,5510.4,24797.6,0
3.7,5195.7,38776.8,0
1.5,1417.9,45083.7,1
0.5,4390.1,37610.8,1
1.0,6172.9,30467.1,0
1.0,2188.5,48459.2,1
3.2,4343.2,29334.5,0
0.0,6321.0,30743.5,0
5.0,3509.8,44704.7,1
5.0,1755.8,39096.8,1
3.1,6702.8,22623.7,0
6.6,2006.6,37461.6,1
0.9,4116.0,36251.2,1
2.2,3430.6,38581.7,1
5.0,6722.3,21474.7,0
5.1,5322.8,37547.0,0
5.0,6937.6,26718.0,0
2.3,5437.9,20130.0,0
3.3,1781.3,42066.4,1
1.3,5889.7,27708.4,0
2.9,4413.3,26447.6,0
1.8,5713.9,33965.7,0
4.9,1112.5,37407.6,1
4.8,6904.5,37097.5,0
4.3,4186.6,38391.1,1
2.6,4687.9,38013.3,1
3.9,3743.7,45412.9,1
3.3,4374.6,36686.1,1
3.2,149.2,43520.3,1
4.4,4599.6,29564.1,0
1.0,5078.3,40319.9,0
2.4,6866.0,32467.7,0
3.5,5942.5,35359.3,0
5.3,4907.6,28420.8,0
6.4,3824.1,37610.0,1
0.5,5024.7,37759.1,0
5.1,1673.5,43849.0,1
6.1,4486.9,36143.5,1
1.2,3160.0,43920.4,1
7.4,3953.6,43724.4,1
1.7,5222.9,21198.0,0
4.5,2817.8,45116.2,1
3.0,5806.4,28592.1,0
0.5,202.2,49434.7,1
4.4,3971.3,49808.4,1
4.7,4308.3,32742.0,0
0.0,4074.9,39993.2,1
1.0,5785.7,26090.8,0
5.3,821.1,40740.6,1
2.3,3589.1,40840.3,1
3.1,4571.7,33587.8,0
2.4,5329.8,36785.0,0
1.4,5027.0,24179.7,0
2.6,5020.1,31866.5,0
3.1,2361.5,36487.8,1
3.9,6631.6,30728.0,0
0.3,6034.0,35033.8,0
5.6,1133.6,46365.2,1
7.0,4227.5,48932.7,1
6.3,4186.4,36885.8,1
3.5,436.8,48586.0,1
3.3,4470.5,36741.2,1
2.6,487.8,47819.3,1
0.0,6699.7,28669.8,0
2.7,6891.4,38820.6,0
4.4,5247.6,29029.8,0
3.6,5801.6,35234.8,0
1.0,847.1,49662.3,1
1.5,5235.5,38657.1,0
2.0,6968.4,41354.9,0
5.5,1891.9,36253.9,1
4.9,4509.2,37140.0,1
0.4,5699.9,24697.8,0
3.1,4693.6,33168.6,0
5.1,1132.5,49103.9,1
4.9,4468.6,35515.2,0
1.7,2223.6,44357.7,1
1.9,4215.3,41762.3,0
1.4,291.5,49726.7,1
2.3,5365.9,31270.8,0
4.0,5125.5,24448.1,0
2.9,6226.8,39048.8,0
2.0,1450.8,38556.8,1
7.3,981.8,46494.9,1
7.0,3171.1,48154.2,1
6.2,787.5,45522.3,1
1.4,4161.5,46746.1,1
6.7,3574.2,49442.9,1
4.2,5631.0,40998.5,0
5.2,4605.1,36831.1,0
1.7,1757.8,49956.5,1
7.3,2215.3,40000.4,1
4.7,6215.6,26716.0,0
2.3,6804.4,26287.7,0
3.2,1394.3,39964.2,1
7.1,130.1,45903.6,1
7.0,1572.9,45704.1,1
4.2,5067.2,27823.1,0
5.7,2074.2,40748.3,1
1.8,1806.8,41207.9,1
1.3,5176.1,40149.3,0
3.2,4753.5,28943.8,0
5.3,3834.6,46375.1,1
6.9,4706.6,43597.3,1
5.4,5818.1,27857.7,0
7.1,2342.4,39851.5,1
4.2,6918.8,25308.6,0
3.7,6764.9,25640.3,0
3.9,5165.8,38022.6,0
7.5,1311.0,49651.2,1
1.7,4394.5,44381.3,1
6.6,667.0,43783.3,1
0.7,5537.6,35087.1,0
7.2,3339.9,45068.9,1
3.4,6700.7,41467.8,0
5.3,4504.2,26562.0,0
1.4,3032.5,36725.8,1
1.6,6383.8,38962.0,0
0.7,639.8,41110.5,1
2.2,4732.2,28890.3,0
2.9,4247.8,39288.6,0
3.9,3224.9,45466.7,1
1.2,6814.6,41804.4,0
6.4,3630.6,49257.4,1
4.4,3917.4,48089.3,1
5.5,5611.5,37301.3,0
1.4,4588.4,37324.5,0
3.9,6242.3,38945.1,0
4.3,4750.0,30703.1,0
5.5,2180.5,44255.2,1
7.1,1774.2,37870.5,1
0.8,2549.2,37353.8,1
1.8,4573.1,34859.0,0
4.9,2285.7,47709.1,1
3.9,119.9,43873.6,1
3.4,4497.1,33085.3,0
0.7,3406.2,38530.6,1
2.4,4700.2,23748.9,0
7.1,2943.5,44972.1,1
0.5,2054.7,47917.9,1
1.9,737.9,47739.9,1
2.7,4759.5,24894.3,0
1.6,1784.5,47043.0,1
2.8,5288.9,23566.5,0
2.9,6925.8,23219.0,0
7.3,2234.5,46455.6,1
3.8,4554.8,37129.5,0
4.3,6936.2,38542.5,0
4.5,5939.5,30664.1,0
1.0,4195.8,36458.6,1
6.7,869.7,40724.6,1
5.3,718.0,45377.7,1
0.8,5504.9,22559.8,0
3.3,4931.3,33888.3,0
4.4,1345.6,49461.0,1
0.0,4587.0,20476.2,0
2.6,4416.5,20089.7,0
1.8,86.8,49429.3,1
2.7,5974.2,40499.7,0
2.3,3724.4,40528.9,1
4.5,5238.1,29615.9,0
5.5,2095.4,48171.6,1
4.8,2007.1,41758.1,1
3.0,5825.2,23045.4,0
5.5,5131.1,30412.5,0
1.5,3043.8,37187.2,1
5.9,1246.2,40506.5,1
6.3,2093.2,38317.2,1
2.5,2561.8,43863.2,1
0.8,6344.5,41529.7,0
3.8,164.6,41648.9,1
6.9,2158.6,49062.9,1
7.0,2704.8,36934.3,1
2.8,4237.1,20568.1,0
7.5,2980.6,47538.9,1
5.1,1049.0,36518.6,1
6.3,964.2,49166.5,1
1.9,6143.6,24293.2,0
0.6,5879.8,32868.4,0
5.4,504.2,43554.9,1
2.3,2979.3,49385.9,1
6.6,1473.6,37045.7,1
4.5,6092.9,37375.7,0
3.7,3548.5,46685.1,1
4.9,4503.8,22819.4,0
4.5,4318.0,28767.9,0
3.7,3148.1,44582.2,1
1.7,5119.8,31296.8,0
5.0,5321.8,29599.2,0
1.3,630.1,48706.7,1
3.9,3981.1,40820.2,1
4.1,6614.5,36397.3,0
1.5,4481.9,40417.1,0
0.3,3248.7,38256.1,1
4.8,6304.0,40210.5,0
2.6,276.9,46558.8,1
0.9,3112.0,44303.7,1
4.5,5219.3,23930.0,0
0.5,1852.4,36800.1,1
0.7,6145.0,33815.2,0
2.6,3976.2,44381.2,1
4.4,1926.1,38742.8,1
4.1,4734.8,36793.9,0
6.9,2167.5,46121.3,1
3.9,5475.0,23703.6,0
5.1,3250.0,46075.4,1
5.0,5891.4,31669.1,0
3.6,1397.6,43709.7,1
